shortcode,url,caption,date,location,likes
DREx48Dj1EH,https://www.instagram.com/p/DREx48Dj1EH/,"Fun Run Lamsel Fest 2025 benar-benar pecah! Ribuan peserta tumpah ruah, dari warga lokal sampai sahabat dari mancanegara. Terima kasih Mas Bupati Radityo Egi dan Ibu Bupati Zita Anjani, semangat baru Lampung Selatan makin terasa. Lamsel terus menyala!

@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-15 11:01:18,,0
DREvaASj7xN,https://www.instagram.com/p/DREvaASj7xN/,"Ribuan warga memenuhi Lapangan Korpri pada malam pembukaan Lamsel Fest & Expo 2025. Musik, cahaya, dan energi masyarakat bersatu menciptakan malam yang tak terlupakan. Kepemimpinan Mas Bupati Radityo Egi Pratama dan Ibu Bupati Zita Anjani kembali menjadi motor penggerak kemajuan budaya & pariwisata Lampung Selatan. Lamsel semakin berjaya.,Dari panggung megah hingga riuh sorak warga, malam pembukaan Lamsel Fest 2025 benar-benar mengguncang Kalianda! Di bawah arah Mas Bupati Radityo Egi Pratama dan Ibu Bupati Zita Anjani, festival ini menjadi bukti nyata kebangkitan event besar di Lampung Selatan. Kita siap menyambut hari-hari penuh kejutan berikutnya!

@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan
 #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel 

‎",2025-11-15 10:39:36,,0
DREuLi1jxc2,https://www.instagram.com/p/DREuLi1jxc2/,"Dari panggung megah hingga riuh sorak warga, malam pembukaan Lamsel Fest 2025 benar-benar mengguncang Kalianda! Di bawah arah Mas Bupati Radityo Egi Pratama dan Ibu Bupati Zita Anjani, festival ini menjadi bukti nyata kebangkitan event besar di Lampung Selatan. Kita siap menyambut hari-hari penuh kejutan berikutnya!

 @thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan
  #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel 

‎",2025-11-15 10:28:53,,2
DREDW8PkxX7,https://www.instagram.com/p/DREDW8PkxX7/,"Sejarah baru Fun Run Lamsel Fest 2025 tercipta hari ini. Peserta membludak, energinya positif, dan wajah-wajah bahagia di sepanjang rute. Salut untuk kepemimpinan Mas Bupati Radityo Egi dan Ibu Bupati Zita Anjani yang menghadirkan gelombang perubahan di Lamsel.
•
•
•
@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-15 04:14:42,,1
DRCVLC4iVzm,https://www.instagram.com/p/DRCVLC4iVzm/,#zitaanjani #verrelbramasta #lamselfest2025 #hut69lampungselatan #pesonalamsel #proudtobelamsel,2025-11-14 12:11:53,,0
DRCKnEHj6t7,https://www.instagram.com/p/DRCKnEHj6t7/,"Kemeriahan  HUT Lampung Selatsn ke-69,  Opening Ceremony Lamsel Fest 2025  Anjani UKP Pariwisata, Verrell Bramasta, Audrey King of The Jungle & Hassan Alaydrus sukses tempuh ±30 KM & terobos ombak Selat Sunda.

@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-14 10:39:35,,0
DRCKbBqjw9o,https://www.instagram.com/p/DRCKbBqjw9o/,"Kemeriahan  HUT Lampung Selatsn ke-69,  Opening Ceremony Lamsel Fest 2025  Anjani UKP Pariwisata, Verrell Bramasta, Audrey King of The Jungle & Hassan Alaydrus sukses tempuh ±30 KM & terobos ombak Selat Sunda.

@thecrownofkrakatoa @zitaanjani @radityoegi @pemkab.lampungselatan

#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-14 10:37:57,,0
DRCFogMAesX,https://www.instagram.com/p/DRCFogMAesX/,"Perayaan spektakuler HUT Lamsel ke-69! 
Tahun ini, Lampung Selatan tampil berbeda dan penuh energi positif.

Aksi jetski yang ditunjukkan oleh @zitaanjani UKP Pariwisata) berhasil mencuri perhatian, sekaligus membawa semangat baru bagi perkembangan pariwisata daerah. vibes-nya benar-benar luar biasa! 💙✨

Tak kalah spesial, kehadiran menko pangan @zul.hasan ikut memeriahkan perayaan, menambah kehangatan dan dukungan bagi kemajuan Lamsel ke depan. 
#lamselfest2025 #hut69lampungselatan #thecrownofkrakatoa #pesonalamsel",2025-11-14 09:56:06,,0
DRCEsfTE8Cb,https://www.instagram.com/p/DRCEsfTE8Cb/,"Sejarah baru untuk Lampung Selatan!
Perayaan HUT ke-69 tahun ini hadir dengan warna berbeda meriah, enerjik, dan penuh semangat pariwisata. 

Aksi jetski ride dari rombongan Zita Anjani (UKP Pariwisata) memberikan nuansa segar bagi geliat wisata Lamsel, sekaligus menjadi simbol bahwa daerah ini siap melaju lebih cepat menuju kemajuan.

Kehadiran Menko Pangan Zulkifli Hasan menambah khidmat dan semangat kolaborasi untuk membangun Lamsel yang makin maju, kuat, dan berdaya saing. 🇮🇩
#lamselfest2025 #hut69lampungselatan #thecrownofkrakatoa #pesonalamsel",2025-11-14 09:47:54,,1
DRB9ll0kZoa,https://www.instagram.com/p/DRB9ll0kZoa/,"Bukan di jalan, tapi di air! Di HUT Lamsel ke-69, Zita Anjani UKP Pariwisata, Verrell Bramasta, Audrey King of The Jungle & Hassan Alaydrus sukses tempuh ±30 KM & terobos ombak Selat Sunda. 🌊

-#LamselFest2025 
#HUT69LampungSelatan 
#TheCrownOfKrakatoa 
#PesonaLamsel 
#ProudToBeLamsel 

‎",2025-11-14 08:45:48,,2
